seq,arm,repeat,connect_ms,handshake_ms
8,deployed,2,10.8450,21.4880
8,deployed,2,11.0670,18.6360
8,deployed,2,11.1700,18.4530
8,deployed,2,12.4430,21.4180
8,deployed,2,12.2300,20.8800
8,deployed,2,11.5510,19.3520
8,deployed,2,10.8570,19.4120
8,deployed,2,11.3250,19.6210
8,deployed,2,12.2830,20.0770
8,deployed,2,11.3000,18.6600
8,deployed,2,14.9420,21.9930
8,deployed,2,12.8860,22.5070
8,deployed,2,11.5720,21.5870
8,deployed,2,11.6680,17.5870
8,deployed,2,11.2000,20.5220
8,deployed,2,11.9380,20.0650
8,deployed,2,11.4860,18.2130
8,deployed,2,11.0510,18.4420
8,deployed,2,11.7260,20.5510
